@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9}

@data
11,'2018/04/30 13:08:55:360',5,-9.343323,64.262573,3.612236,-33.314331,1.237671,-13.974756,-53.180725,31.67926,-5.238907,-34.687622,52.114777,0.381363,-60.851166,15.69458,24.733055,-49.32666,4.764435,5.600281,-57.082916,5.00238,15.556923,-59.890808,9.693115,21.050339,-7.310242,60.449951,0.64172,-8.640778,-0.254944,5.993748,-9.090912,41.994568,9.788765,-8.111389,60.347717,5.01627,24.917206,54.095825,0.393089,32.805481,-4.11734,4.775421,31.220917,33.771362,9.073898,27.201813,52.704132,4.720364,115.131409,2.723206,18.410324,70.858521,-3.841431,2.98576,94.538147,-5.992584,10.649944,106.691284,-3.920074,14.912056,1
12,'2018/04/30 13:08:55:377',5,-9.813629,64.301971,3.563091,-33.295746,1.060638,-13.97636,-53.470551,31.591553,-5.271095,-35.114197,52.107605,0.33783,-60.884369,15.65976,24.741333,-49.327118,4.856079,5.595291,-57.067963,5.131165,15.552063,-59.892303,9.75708,21.048775,-7.240479,60.534363,0.623734,-8.648376,-0.171387,5.993759,-9.016724,42.094177,9.777714,-8.025543,60.418396,4.998306,24.991455,54.174133,0.376118,32.79425,-4.063843,4.779484,31.311157,33.85376,9.062576,27.303497,52.764099,4.702793,115.462555,2.842743,18.399662,70.849823,-3.824585,2.990334,94.669098,-5.891907,10.649197,106.922485,-3.8125,14.906609,1
13,'2018/04/30 13:08:55:393',5,-10.301208,64.319519,3.539188,-33.144409,0.962921,-13.982418,-53.669373,31.524689,-5.296722,-35.508728,52.089539,0.310986,-61.287933,15.273163,24.753159,-49.39032,4.887207,5.584881,-57.253632,5.072998,15.540279,-60.188873,9.542725,21.044159,-7.288025,60.638489,0.641758,-8.713409,-0.132385,5.992352,-9.126099,42.111084,9.791611,-8.105927,60.451111,5.016083,24.966644,54.266907,0.393169,32.744324,-4.02771,4.786743,31.254639,33.879181,9.075726,27.266754,52.801056,4.718781,115.709442,2.798584,18.405449,70.819183,-3.795532,3.003952,94.749878,-5.863281,10.657379,107.087585,-3.830109,14.912384,1
14,'2018/04/30 13:08:55:409',5,-10.703827,64.299347,3.554287,-33.075592,0.991791,-13.98484,-53.852875,31.498322,-5.296391,-35.838226,52.059753,0.31945,-61.640869,14.611053,24.777935,-49.430054,4.839264,5.581997,-57.391571,4.832825,15.536285,-60.433929,9.08728,21.049915,-7.441467,60.701935,0.690697,-8.74353,-0.158112,5.991627,-9.253937,42.029419,9.829376,-8.265594,60.414795,5.064663,24.842712,54.332428,0.431061,32.72934,-4.025146,4.788475,31.188446,33.836945,9.101837,27.158508,52.79361,4.754959,116.022522,2.593567,18.405758,70.812683,-3.764709,3.008762,94.8815,-5.905365,10.654167,107.313538,-3.962616,14.907516,1
15,'2018/04/30 13:08:55:426',5,-10.861481,64.288757,3.556156,-33.081085,0.983917,-13.984673,-53.944,31.477112,-5.296505,-35.980103,52.043427,0.320766,-61.812134,14.148438,24.798828,-49.431427,4.831757,5.582214,-57.435425,4.691864,15.535912,-60.539032,8.783081,21.056725,-7.491333,60.75769,0.718708,-8.741394,-0.15863,5.991673,-9.240662,41.995789,9.852108,-8.287659,60.402557,5.092442,24.808411,54.3685,0.44643,32.733734,-4.018829,4.788338,31.226593,33.823761,9.112583,27.160767,52.791107,4.76915,116.358948,2.401184,18.399574,70.816284,-3.752197,3.008419,95.021606,-5.950897,10.646057,107.550049,-4.085602,14.897156,1
16,'2018/04/30 13:08:55:442',5,-10.912384,64.304962,3.540745,-33.13504,0.920349,-13.982946,-53.987732,31.448273,-5.302017,-36.028198,52.041504,0.309299,-61.881561,13.817383,24.81752,-49.410736,4.854462,5.583843,-57.421661,4.626221,15.537346,-60.56189,8.586182,21.063812,-7.506653,60.801971,0.725578,-8.718262,-0.132355,5.992237,-9.168915,42.011322,9.8601,-8.259064,60.413757,5.099258,24.802704,54.389374,0.440575,32.752869,-3.996124,4.787483,31.3013,33.851654,9.109177,27.198364,52.806183,4.762791,116.724243,2.286713,18.387306,70.828491,-3.735779,3.005199,95.180573,-5.961304,10.635056,107.808716,-4.146301,14.882908,1
17,'2018/04/30 13:08:55:460',5,-10.843353,64.319519,3.527168,-33.173187,0.857025,-13.981787,-53.934845,31.426697,-5.306633,-35.955475,52.041382,0.298771,-61.97998,13.57428,24.831802,-49.392059,4.890106,5.58448,-57.430969,4.604675,15.53754,-60.612305,8.460846,21.068222,-7.468994,60.813904,0.712299,-8.701782,-0.10144,5.992653,-9.067963,42.053009,9.853283,-8.18103,60.429474,5.086105,24.836426,54.365204,0.415459,32.763428,-3.978027,4.787292,31.386444,33.897888,9.09391,27.265961,52.817108,4.738174,117.059692,2.157623,18.378853,70.83432,-3.732788,3.003284,95.313141,-5.975525,10.626488,108.032654,-4.209198,14.871357,1
18,'2018/04/30 13:08:55:476',5,-10.797852,64.322845,3.519707,-33.127899,0.824432,-13.983585,-53.870209,31.413849,-5.312057,-35.899261,52.038269,0.291527,-62.154327,13.467712,24.833519,-49.409576,4.904816,5.581253,-57.513275,4.597107,15.533451,-60.743195,8.408173,21.065651,-7.467102,60.814423,0.705486,-8.721161,-0.086884,5.992226,-9.072662,42.071869,9.849964,-8.179169,60.433838,5.079315,24.839569,54.351379,0.405071,32.747528,-3.967438,4.789539,31.377808,33.921356,9.089119,27.265198,52.822052,4.728237,117.143707,2.093842,18.382767,70.824219,-3.727509,3.00742,95.33316,-5.982391,10.628887,108.078888,-4.240875,14.873169,1
19,'2018/04/30 13:08:55:493',5,-10.394012,64.301514,3.532646,-33.047974,0.885559,-13.986309,-53.603302,31.473206,-5.307438,-35.546387,52.057098,0.301136,-62.502441,13.234253,24.839237,-49.417786,4.950806,5.577579,-57.68866,4.565765,15.527458,-61.014709,8.285278,21.062664,-7.200317,60.80365,0.717327,-8.75412,-0.08728,5.991474,-8.92157,42.05127,9.863163,-7.927399,60.405731,5.091022,25.08252,54.287231,0.409531,32.703552,-4.01239,4.791897,31.489838,33.866455,9.097702,27.481506,52.758392,4.732944,117.30777,1.787048,18.3876,70.790924,-3.812134,3.013035,95.351776,-6.147583,10.630375,108.1539,-4.47821,14.873814,1
20,'2018/04/30 13:08:55:510',5,-9.881866,64.279907,3.53278,-32.975342,0.915253,-13.988865,-53.31012,31.528015,-5.307415,-35.127838,52.079956,0.302158,-62.801849,13.190186,24.839191,-49.41684,5.026367,5.573483,-57.846588,4.627869,15.521244,-61.251617,8.313843,21.057102,-6.86499,60.765289,0.705524,-8.783508,-0.067993,5.990818,-8.718231,42.073303,9.860668,-7.605347,60.387604,5.079296,25.383331,54.191772,0.39587,32.657867,-4.052429,4.794659,31.628021,33.834991,9.096497,27.747162,52.690826,4.720196,117.420349,1.583801,18.390881,70.754761,-3.907471,3.018661,95.346375,-6.273804,10.633854,108.192627,-4.646515,14.876232,1
21,'2018/04/30 13:08:55:526',5,-9.46814,64.286377,3.500404,-32.845215,0.821289,-13.994011,-53.024323,31.529327,-5.327927,-34.773773,52.099304,0.274048,-63.176361,13.338623,24.828323,-49.437103,5.154419,5.563354,-58.05603,4.809692,15.508713,-61.554108,8.50531,21.043259,-6.520721,60.757507,0.672363,-8.83725,0.005402,5.989605,-8.557587,42.169891,9.843506,-7.298492,60.41507,5.046211,25.698425,54.121643,0.367832,32.591461,-4.051147,4.801781,31.751068,33.865875,9.087914,28.016418,52.661255,4.693413,117.515961,1.535583,18.396591,70.704834,-3.979462,3.031036,95.32785,-6.323151,10.645081,108.217987,-4.700623,14.885494,1
22,'2018/04/30 13:08:55:544',5,-8.978027,64.23822,3.495953,-32.610992,0.833221,-14.002522,-52.689301,31.563538,-5.337711,-34.366669,52.101074,0.268021,-63.705566,13.333557,24.815536,-49.497589,5.241486,5.549854,-58.366058,4.89035,15.491768,-61.988495,8.56665,21.025871,-6.176392,60.725647,0.658337,-8.935272,0.033936,5.987331,-8.456268,42.198303,9.841003,-7.018219,60.39093,5.032036,26.012299,54.029297,0.362183,32.4888,-4.086609,4.810772,31.816711,33.830719,9.097221,28.257416,52.581787,4.688633,117.492645,1.400024,18.413719,70.631348,-4.0755,3.049786,95.242676,-6.432373,10.664162,108.151794,-4.834991,14.90427,1
23,'2018/04/30 13:08:55:560',5,-8.605804,64.219543,3.463436,-32.406219,0.732849,-14.010303,-52.408813,31.546875,-5.361351,-34.060486,52.101044,0.239254,-64.129639,13.560028,24.796604,-49.547546,5.367462,5.535339,-58.620728,5.096313,15.474522,-62.339264,8.812012,21.005978,-5.854187,60.700928,0.62587,-9.020508,0.108459,5.985275,-8.348602,42.288147,9.828014,-6.749573,60.394501,4.999535,26.311737,53.942322,0.339188,32.397308,-4.081482,4.820671,31.901978,33.854431,9.097198,28.498962,52.530487,4.66684,117.50827,1.493378,18.422642,70.56485,-4.141388,3.06823,95.190887,-6.42572,10.683247,108.129242,-4.799805,14.921284,1
24,'2018/04/30 13:08:55:576',5,-8.491943,64.183075,3.46912,-32.14856,0.765533,-14.019463,-52.230499,31.571472,-5.37159,-33.968109,52.101929,0.238834,-64.640717,13.536438,24.781334,-49.626343,5.417175,5.521267,-58.930511,5.128815,15.457085,-62.763123,8.835632,20.987694,-5.627472,60.660858,0.634731,-9.128845,0.117462,5.9827,-8.341888,42.264984,9.847099,-6.591888,60.32251,5.008022,26.528503,53.849731,0.357494,32.293121,-4.114044,4.829849,31.939941,33.784088,9.127464,28.665466,52.420563,4.685181,117.540955,1.493073,18.432076,70.492126,-4.21225,3.088253,95.157928,-6.480072,10.701569,108.133698,-4.852081,14.937767,1
25,'2018/04/30 13:08:55:592',5,-8.53772,64.12149,3.501831,-31.872345,0.898407,-14.028824,-52.145996,31.614685,-5.368008,-34.036041,52.092438,0.262138,-65.123749,13.374878,24.767349,-49.73407,5.367432,5.509148,-59.23587,5.013458,15.44191,-63.170776,8.701599,20.972176,-5.636292,60.585938,0.671341,-9.246552,0.061737,5.979923,-8.505066,42.144531,9.888302,-6.670044,60.177551,5.04401,26.53418,53.763336,0.403137,32.197296,-4.160675,4.837341,31.843536,33.66037,9.1772,28.626465,52.280701,4.730042,117.433746,1.485199,18.446533,70.43045,-4.244171,3.107445,95.091187,-6.532257,10.720638,108.065216,-4.918365,14.957256,1
26,'2018/04/30 13:08:55:609',5,-7.973206,64.001282,3.606647,-31.75766,1.34787,-14.03064,-51.858429,31.845276,-5.315361,-33.660126,52.134125,0.352955,-65.164429,12.836853,24.781197,-49.750885,5.26709,5.512825,-59.29306,4.679382,15.444286,-63.224915,8.247711,20.9795,-5.349518,60.42865,0.748642,-9.293152,-0.101868,5.97876,-8.309662,41.868408,9.96122,-6.378845,59.914856,5.120632,26.785645,53.584717,0.480495,32.138885,-4.341553,4.833477,32.027863,33.345581,9.245739,28.889801,51.993408,4.804897,117.458832,1.03595,18.443962,70.385071,-4.421295,3.108078,95.078064,-6.875,10.716412,108.082184,-5.356934,14.953804,1
27,'2018/04/30 13:08:55:625',5,-7.442535,63.923767,3.666096,-31.495758,1.656494,-14.037792,-51.520386,32.030853,-5.292969,-33.297424,52.190002,0.402958,-65.503967,12.516144,24.777348,-49.821503,5.23172,5.504963,-59.524902,4.507507,15.433422,-63.527374,7.989349,20.971287,-5.032715,60.236298,0.764931,-9.402039,-0.201874,5.975945,-8.189484,41.715698,9.991959,-6.102295,59.69397,5.136555,27.056,53.383301,0.508224,32.027161,-4.477142,4.837337,32.113464,33.143982,9.284687,29.11618,51.752502,4.832039,117.201752,0.805908,18.464169,70.303925,-4.577179,3.122639,94.903168,-7.084259,10.734631,107.868622,-5.610107,14.974842,1
28,'2018/04/30 13:08:55:641',5,-7.259796,63.933014,3.66835,-31.211029,1.734985,-14.047134,-51.30661,32.114716,-5.306023,-33.153534,52.247101,0.3993,-65.963348,12.477722,24.760658,-49.908386,5.265594,5.490627,-59.816803,4.518555,15.415813,-63.923859,7.970703,20.953644,-4.799011,60.163422,0.755962,-9.521057,-0.211548,5.972977,-8.189423,41.69696,9.994316,-5.942657,59.620026,5.127281,27.262146,53.28891,0.511566,31.912689,-4.526184,4.846294,32.089752,33.083435,9.299679,29.243591,51.655121,4.835884,116.849701,0.75946,18.494881,70.222778,-4.660431,3.143402,94.676941,-7.156952,10.762909,107.572571,-5.684967,15.006493,1
29,'2018/04/30 13:08:55:659',5,-6.858856,64.063141,3.573059,-30.348938,1.618866,-14.077484,-50.762024,32.232361,-5.399063,-32.842377,52.432983,0.302719,-67.387573,13.020508,24.687645,-50.168427,5.503265,5.438786,-60.716949,4.950958,15.354462,-65.150848,8.466675,20.885849,-4.092255,60.020813,0.641392,-9.879974,-0.091553,5.96405,-8.232544,41.896606,9.931263,-5.485291,59.573578,5.012264,27.879395,53.069672,0.440357,31.565369,-4.551544,4.88023,31.958923,33.148163,9.285522,29.593262,51.530304,4.768623,115.630127,0.884674,18.601799,69.973663,-4.830292,3.21339,93.894531,-7.169617,10.862411,106.5336,-5.655487,15.117115,1
30,'2018/04/30 13:08:55:676',5,-6.661926,64.180237,3.485882,-29.75647,1.468445,-14.098263,-50.443817,32.288879,-5.475948,-32.682281,52.567169,0.216316,-68.340271,13.535126,24.632427,-50.34024,5.701141,5.401112,-61.318268,5.344452,15.310059,-65.973602,8.927917,20.835888,-3.570221,59.979797,0.552166,-10.125061,0.02356,5.957668,-8.235382,42.086273,9.873489,-5.135223,59.605286,4.922558,28.333405,52.961823,0.381351,31.323242,-4.546875,4.904816,31.892792,33.239868,9.262959,29.866882,51.498627,4.712326,114.774994,0.859161,18.684017,69.796448,-4.938324,3.262966,93.321228,-7.194611,10.932709,105.77713,-5.686462,15.19598,1
31,'2018/04/30 13:08:55:692',5,-6.692535,64.25531,3.439915,-29.411163,1.391907,-14.110065,-50.327393,32.316101,-5.519661,-32.696106,52.641418,0.168446,-68.896484,13.706787,24.603493,-50.448975,5.787415,5.379486,-61.661621,5.503723,15.284473,-66.448853,9.091614,20.808365,-3.360199,59.953186,0.503723,-10.268463,0.076843,5.953804,-8.284943,42.182068,9.840248,-5.014465,59.623016,4.873825,28.512268,52.909698,0.349041,31.188049,-4.539551,4.918682,31.817108,33.297943,9.249104,29.953064,51.493011,4.68148,114.275238,0.787415,18.73526,69.699127,-4.978577,3.291519,92.989807,-7.210876,10.972858,105.336365,-5.731445,15.241722,1
32,'2018/04/30 13:08:55:709',5,-6.868164,64.317657,3.41283,-29.077667,1.44696,-14.120518,-50.400482,32.39624,-5.551407,-32.926941,52.736755,0.140919,-69.444275,13.519348,24.586422,-50.576019,5.765961,5.362251,-61.985382,5.444977,15.263657,-66.911224,8.942474,20.789265,-3.373962,59.829865,0.451698,-10.409088,0.053436,5.950001,-8.376434,42.197845,9.809414,-5.051758,59.539368,4.821835,28.474731,52.797913,0.310696,31.071869,-4.558594,4.929062,31.704315,33.326721,9.23325,29.884857,51.437317,4.644417,113.607819,0.554565,18.798359,69.621246,-4.990997,3.316017,92.59433,-7.254883,11.011711,104.781708,-5.872498,15.289745,1
33,'2018/04/30 13:08:55:726',5,-7.285156,64.368378,3.377056,-28.926483,1.424683,-14.125507,-50.686371,32.382965,-5.575611,-33.389862,52.775604,0.113503,-69.858643,13.257202,24.579823,-50.68042,5.6586,5.353992,-62.194824,5.306702,15.253433,-67.236755,8.718201,20.780766,-3.836029,59.649536,0.375843,-10.4776,0.020233,5.948139,-8.59433,42.228912,9.764595,-5.439484,59.437897,4.746696,28.037109,52.687744,0.24873,31.049377,-4.511505,4.933983,31.508514,33.43985,9.202003,29.513519,51.426727,4.583988,113.036926,0.550079,18.845318,69.620178,-4.867767,3.327793,92.32428,-7.116425,11.036224,104.358246,-5.801208,15.322361,1
34,'2018/04/30 13:08:55:742',5,-7.265778,64.344788,3.417271,-28.851379,1.671448,-14.126213,-50.759705,32.501953,-5.553413,-33.489624,52.823029,0.152927,-70.127319,12.743317,24.589157,-50.739563,5.488281,5.356323,-62.323212,5.000488,15.254139,-67.446747,8.275909,20.785439,-4.149048,59.420044,0.34314,-10.512238,-0.111877,5.947121,-8.602722,42.113159,9.752048,-5.625793,59.239349,4.714783,27.724976,52.502777,0.221218,31.043091,-4.571594,4.931145,31.458069,33.391418,9.192768,29.29715,51.300232,4.556988,112.486237,0.25061,18.882942,69.624878,-4.847717,3.328094,92.06311,-7.187012,11.046997,103.946564,-5.984528,15.341755,1
35,'2018/04/30 13:08:55:761',5,-6.922577,64.329132,3.449596,-28.719177,1.906616,-14.128563,-50.620331,32.655945,-5.53727,-33.294403,52.897583,0.184052,-70.467133,12.361572,24.5923,-50.790283,5.397583,5.354572,-62.498962,4.81488,15.249771,-67.722717,7.964569,20.784172,-4.181183,59.155701,0.294498,-10.567932,-0.211426,5.945408,-8.446045,42.038727,9.731102,-5.547363,59.040436,4.66684,27.663452,52.233704,0.175564,30.997345,-4.653137,4.930874,31.528259,33.338501,9.176319,29.305328,51.128723,4.51255,111.945129,-0.104919,18.923386,69.594147,-4.90155,3.333199,91.761871,-7.31604,11.062859,103.505402,-6.219971,15.365406,1
